n340549,Q15717,0.99999963,1
n336975,Q15717,0.999999392,1
n342056,Q15717,0.999999392,1
n342704,Q15717,0.999998379,1
n376473,Q15717,0.999998379,1
n381585,Q15717,0.99999826,1
n339741,Q15717,0.99999814,1
n342544,Q15717,0.99999814,1
n383509,Q15717,0.999997306,1
n342353,Q15717,0.999996412,1
n381464,Q15717,0.999996412,1
n342010,Q15717,0.999996293,1
n377717,Q15717,0.999996293,1
n339984,Q15717,0.999995875,0
n345686,Q9NZI8,0.999995816,1
n342666,Q15717,0.999995399,1
n4541,Q15717,0.999995399,1
n340002,Q15717,0.999994981,1
n338758,Q15717,0.999994802,1
n369876,Q15717,0.999994802,0
n367422,Q15717,0.999994743,1
n335106,Q15717,0.999994504,1
n340108,Q15717,0.999994385,1
n335544,Q15717,0.999994326,1
n341592,Q15717,0.999993968,0
n344457,Q15717,0.999993908,1
n369419,Q15717,0.999993908,1
n339073,Q15717,0.99999367,1
n340203,Q15717,0.99999367,1
n344814,Q9NZI8,0.99999367,1
n381216,Q15717,0.99999367,1
n344814,Q15717,0.999993372,1
n328168,Q15717,0.999992836,0
n340240,Q15717,0.999992836,1
n341449,Q15717,0.999992836,1
n387722,Q15717,0.999992657,1
n342846,Q15717,0.999992537,1
n342861,Q15717,0.999992478,1
n406847,Q15717,0.999992299,0
n3891,Q15717,0.999992061,0
n345175,Q15717,0.999992001,1
n337671,Q15717,0.999991703,1
n342358,Q15717,0.999991286,1
n341049,Q15717,0.999991226,1
n378520,Q15717,0.999991167,1
n387266,Q15717,0.999990869,0
n408051,Q15717,0.99999063,1
n342195,Q15717,0.999990332,1
n341017,Q15717,0.999988782,1
n340535,Q15717,0.999988365,0
