AthlncRNA148,15229321,0.999999988,1
AthlncRNA148,79320777,0.999999988,1
AthlncRNA148,15224366,0.999999988,1
AthlncRNA148,15224217,0.999999988,1
AthlncRNA148,15223768,0.999999988,1
AthlncRNA148,15218779,0.999999988,1
AthlncRNA148,30678085,0.999999988,1
AthlncRNA148,15226605,0.999999988,1
AthlncRNA148,15227722,0.999999988,1
AthlncRNA148,15241028,0.999999988,1
AthlncRNA148,22330665,0.999999988,1
AthlncRNA148,15229884,0.999999928,1
AthlncRNA301,79320777,0.999999928,1
AthlncRNA301,15223768,0.999999928,1
AthlncRNA301,15218779,0.999999928,1
AthlncRNA32,18423684,0.999999928,1
AthlncRNA193,22328551,0.999999809,1
AthlncRNA301,30678085,0.999999809,1
AthlncRNA301,15227722,0.999999809,1
AthlncRNA110,22328551,0.99999963,1
AthlncRNA148,15228098,0.999999571,1
AthlncRNA227,15229884,0.999999571,1
AthlncRNA32,22329999,0.999999571,1
AthlncRNA301,15224217,0.999999511,1
AthlncRNA193,15223768,0.999999392,1
AthlncRNA227,15224217,0.999999392,1
AthlncRNA148,15234010,0.999999094,1
AthlncRNA227,22328551,0.999998915,1
AthlncRNA148,22328551,0.999998796,1
AthlncRNA376,15229884,0.999998498,1
AthlncRNA227,79320777,0.999998379,1
AthlncRNA227,15218779,0.999998379,1
AthlncRNA159,22328551,0.999997306,0
AthlncRNA277,22328551,0.999997306,1
AthlncRNA301,15241028,0.99999671,1
AthlncRNA227,15229321,0.99999665,1
AthlncRNA301,15228098,0.99999665,1
AthlncRNA129,15224217,0.999996471,1
AthlncRNA56,22329999,0.999996471,1
AthlncRNA301,15224366,0.999996293,1
AthlncRNA301,15226605,0.999995458,1
AthlncRNA261,22328551,0.999994624,1
AthlncRNA376,30694526,0.999992061,1
AthlncRNA376,18410591,0.999992061,1
AthlncRNA376,30694529,0.999992061,1
AthlncRNA301,15233167,0.999991226,1
AthlncRNA301,15218972,0.999991167,1
AthlncRNA193,30694526,0.999990392,1
AthlncRNA193,18410591,0.999990392,1
AthlncRNA193,30694529,0.999990392,1
