ENSP00000385269,0.965500522,Q15717
ENSP00000371634,0.869051087,Q9Y6M1
ENSP00000258729,0.853981185,O00425
ENSP00000290341,0.827340829,Q9NZI8
ENSP00000254108,0.804027903,P35637
ENSP00000240185,0.683012056,
ENSP00000220592,0.666830349,
ENSP00000401371,0.633882749,
ENSP00000349428,0.613109279,
ENSP00000381031,0.592145967,
ENSP00000362287,0.590411234,
ENSP00000362306,0.58251642,
ENSP00000258962,0.296294659,
ENSP00000350028,0.258909196,
ENSP00000362300,0.252343357,
ENSP00000309558,0.232855499,
ENSP00000379144,0.119216457,
ENSP00000338371,0.116079412,
ENSP00000354951,0.088263698,
ENSP00000413035,0.013316866,
ENSP00000262238,0.001384605,
ENSP00000361021,0.001262391,
ENSP00000329357,0.001176305,
ENSP00000329029,0.001104829,
ENSP00000316578,0.000586941,
ENSP00000362690,0.000558067,
ENSP00000311816,0.000505671,
